"label","roi_statistics_Area","roi_statistics_CircularityMPEG","roi_statistics_CssHighestPeakY","roi_statistics_CssNumOfPeaks","roi_statistics_CssPeakX0","roi_statistics_CssPeakX1","roi_statistics_CssPeakX10","roi_statistics_CssPeakX11","roi_statistics_CssPeakX12","roi_statistics_CssPeakX13","roi_statistics_CssPeakX14","roi_statistics_CssPeakX15","roi_statistics_CssPeakX16","roi_statistics_CssPeakX17","roi_statistics_CssPeakX18","roi_statistics_CssPeakX19","roi_statistics_CssPeakX2","roi_statistics_CssPeakX3","roi_statistics_CssPeakX4","roi_statistics_CssPeakX5","roi_statistics_CssPeakX6","roi_statistics_CssPeakX7","roi_statistics_CssPeakX8","roi_statistics_CssPeakX9","roi_statistics_CssPeakY0","roi_statistics_CssPeakY1","roi_statistics_CssPeakY10","roi_statistics_CssPeakY11","roi_statistics_CssPeakY12","roi_statistics_CssPeakY13","roi_statistics_CssPeakY14","roi_statistics_CssPeakY15","roi_statistics_CssPeakY16","roi_statistics_CssPeakY17","roi_statistics_CssPeakY18","roi_statistics_CssPeakY19","roi_statistics_CssPeakY2","roi_statistics_CssPeakY3","roi_statistics_CssPeakY4","roi_statistics_CssPeakY5","roi_statistics_CssPeakY6","roi_statistics_CssPeakY7","roi_statistics_CssPeakY8","roi_statistics_CssPeakY9","roi_statistics_DCB0","roi_statistics_DCB1","roi_statistics_DCB2","roi_statistics_DCG0","roi_statistics_DCG1","roi_statistics_DCG2","roi_statistics_DCNumberOfColors","roi_statistics_DCPercentage0","roi_statistics_DCPercentage1","roi_statistics_DCPercentage2","roi_statistics_DCR0","roi_statistics_DCR1","roi_statistics_DCR2","roi_statistics_Feret's_Angle","roi_statistics_Feret's_Diameter","roi_statistics_Feret's_Min_Diameter","roi_statistics_KURTOSIS","roi_statistics_Mean","roi_statistics_Median","roi_statistics_Peak","roi_statistics_alongeness","roi_statistics_angle","roi_statistics_area_fraction","roi_statistics_circularity","roi_statistics_comprehensiveness","roi_statistics_eccentricity","roi_statistics_major_axis","roi_statistics_max_gray_value","roi_statistics_minimum_gray_value","roi_statistics_minor_axis","roi_statistics_normalized_centroid_x","roi_statistics_normalized_centroid_y","roi_statistics_normalized_x_center_of_mass","roi_statistics_normalized_y_center_of_mass","roi_statistics_peak_relative_count","roi_statistics_perimeter4","roi_statistics_perimeter_length","roi_statistics_relative_size","roi_statistics_skewness","roi_statistics_standard_deviation","roi_statistics_FileName","FileName","ID"
"Jackson Pollock",99456.0,8.311863880252124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,48.0,180.0,154.0,66.0,207.0,3.0,0.32553088803088803,0.4252131595881596,0.24925595238095238,173.0,81.0,227.0,153.22884978553788,497.3047355495421,224.0,-1.070344509111957,127.83562580437581,134.0,182.0,1.9821428571428572,0.0,0.0,1.0,17.839285714285715,1.9821575819347275,501.000350190482,253.0,0.0,252.7569334293573,0.5,0.5,0.5035866985227998,0.46823230285349726,0.006354568854568855,1332.0,909.2110503476931,1.0,-0.18570694611898472,62.574492156393376,"Autumn_Rhythm.jpg","Autumn_Rhythm.jpg",18622.0
"Jackson Pollock",307200.0,7.834372034955938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,100.0,129.0,81.0,135.0,167.0,3.0,0.6038802083333333,0.259130859375,0.13698893229166667,101.0,164.0,198.0,143.13010235415598,800.0,480.0,-0.9328145932485525,105.941494140625,102.0,79.0,1.3333333333333333,0.0,0.0,1.0,16.275052083333332,1.3333345992525787,722.1626669411418,236.0,24.0,541.6220002058358,0.5,0.5,0.5016961263420631,0.5114878541846338,0.01041015625,2236.0,1551.3603995005365,1.0,0.27208127643933644,35.99093241658951,"abstract-art-jackson-pollock-brushes-with-history-jackson-pollock-abstract-art-in-wilmington-640x480.jpg","abstract-art-jackson-pollock-brushes-with-history-jackson-pollock-abstract-art-in-wilmington-640x480.jpg",143862.0
"Jackson Pollock",726000.0,8.00840527724227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,143.0,65.0,35.0,175.0,91.0,3.0,0.3528636363636364,0.4439228650137741,0.20321349862258953,40.0,192.0,118.0,149.03624346792648,1282.809416865966,660.0,-1.2319312422675919,105.8055,104.0,25.0,1.6666666666666667,0.0,0.0,1.0,17.02790082644628,1.6666678910338886,1241.2170838050822,255.0,0.0,744.7302502830273,0.5,0.5,0.5013730184442159,0.4802150146483686,0.00793526170798898,3516.0,2411.244954640214,1.0,0.15204579999347967,65.61453080081388,"convergence.jpg","convergence.jpg",560139.0
"Jackson Pollock",214603.0,20.611855206643483,319.0,2.0,0.49,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16300940438871472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,154.0,72.0,23.0,167.0,76.0,3.0,0.3791139918826857,0.4229158026681826,0.19797020544913166,25.0,175.0,87.0,143.13010235415598,800.0,480.0,-1.140895192326384,95.16167061970243,85.0,16.0,1.3333333333333333,147.25242266915677,0.0,0.6096671303177434,35.77974678825552,1.5504184033801578,650.8741470252364,255.0,0.0,419.80623637860623,0.3821611337271613,0.5757738077209235,0.3662352376813768,0.5691414545972826,0.014822719160496359,2771.0,2103.1799644612706,0.6985774739583334,0.3836344399339226,68.52822792379504,"jacksonpollockdetail.jpg","jacksonpollockdetail.jpg",164135.0
"Jackson Pollock",92597.0,31.234606087348162,138.0,4.0,0.69,0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9199999999999999,0.72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.14492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,175.0,37.0,96.0,193.0,36.0,112.0,3.0,0.6559499767811052,0.19234964415693814,0.15170037906195666,205.0,44.0,132.0,139.41309404869432,431.9085551363853,328.0,-0.7014694373415185,150.0262319513591,167.0,203.0,0.8586387434554974,110.59011481978227,0.0,0.4023220455931822,31.468071319805176,1.2148138939197082,378.44950585267225,255.0,0.0,311.52943867163833,0.7731036018310528,0.3243864654542444,0.7717127119656125,0.31875046244395927,0.009017570763631652,1707.0,1700.6559969230043,0.30142252604166664,-0.6822367171932955,65.35729789886415,"jacksonpollockdetail.jpg","jacksonpollockdetail.jpg",53070.0
"Willem de Kooning",234000.0,7.918107774120618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,110.0,56.0,197.0,130.0,68.0,3.0,0.6907222222222222,0.19063247863247862,0.11864529914529914,210.0,142.0,76.0,146.97613244420336,715.6116265125937,390.0,0.3062952145654232,164.42385897435898,180.0,198.0,1.5384615384615385,0.0,0.0,1.0,16.686222222222224,1.5384644591273389,677.0275002573333,254.0,0.0,440.06787516723324,0.5,0.5,0.4994065556706504,0.49711324290833186,0.015282051282051281,1976.0,1361.1896337925236,1.0,-1.0435059344468254,47.15538693727944,"370_1_large.jpg","370_1_large.jpg",100740.0
"Willem de Kooning",148920.0,8.472054641799048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,103.0,170.0,63.0,135.0,187.0,3.0,0.6204270749395648,0.23273569701853344,0.1468372280419017,97.0,168.0,210.0,127.82060614811454,554.4763295218291,340.0,-0.5299676033910288,100.10287402632285,96.0,91.0,0.776255707762557,90.0000000000002,0.0,1.0,16.174482943862476,1.2882375085794777,494.2300751878515,255.0,0.0,383.64891681246104,0.5,0.5,0.4838666695430776,0.45568285403101816,0.008836959441310771,1552.0,1123.2356730698657,1.0,0.2934739255850407,53.50679948981457,"843ebdb637d50fe14be3e53c276a06a7.jpg","843ebdb637d50fe14be3e53c276a06a7.jpg",123228.0
"Willem de Kooning",99160.0,8.171187779667926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,102.0,85.0,203.0,146.0,95.0,3.0,0.6487192416296894,0.24611738604275918,0.10516337232755144,223.0,190.0,105.0,131.463238431398,447.035792750424,296.0,0.31588146619999335,177.76181928196854,187.0,222.0,0.8835820895522388,90.0000000000002,0.0,1.0,15.959701492537313,1.1317581730354302,378.0070209770062,253.0,12.0,334.00023346026336,0.5,0.5,0.5082801281412482,0.4943235679528271,0.015601048810004034,1258.0,900.1416445381647,1.0,-0.8633833782739484,41.440234323454284,"Photo_of_Interchanged_by_Willem_de_Kooning.jpg","Photo_of_Interchanged_by_Willem_de_Kooning.jpg",69839.0
"Willem de Kooning",102258.0,8.19202017582764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,145.0,54.0,106.0,173.0,70.0,3.0,0.424807838995482,0.36632830683173934,0.20886385417277867,151.0,180.0,70.0,131.16219529358827,454.27414630374903,299.0,-0.08014085298981266,120.15168495374445,115.0,98.0,0.8742690058479532,90.0000000000002,0.0,1.0,15.972187995071291,1.1438142165442253,385.90567514667555,251.0,0.0,337.38537096154937,0.5,0.5,0.4975336254704015,0.4905060638171848,0.012233761661679282,1278.0,915.259307048982,1.0,0.3357983266548735,43.9964846762037,"kooning2.jpg","kooning2.jpg",48490.0
"Willem de Kooning",150800.0,7.911261143161122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,129.0,128.0,198.0,152.0,131.0,3.0,0.6410676392572944,0.24964854111405835,0.10928381962864721,225.0,184.0,121.0,136.69551896462488,549.6626237975437,377.0,-0.34965332099898605,177.91657161803712,176.0,168.0,1.0610079575596818,0.0,0.0,1.0,15.931697612732096,1.0610083744653387,451.3516668382086,255.0,57.0,425.3989459950049,0.5,0.5,0.5006721107111833,0.5084598693827772,0.013395225464190981,1550.0,1092.25371612492,1.0,0.017283841854550654,31.71125186168813,"willem-de-kooning-untitled-XIV-00002012.jpg","willem-de-kooning-untitled-XIV-00002012.jpg",111662.0
